"Yes","Yes"
"No","No"
"Save And Continue Edit","Save And Continue Edit"
"Id","Id"
"Action","Action"
"Edit","Edit"
"CSV","CSV"
"Excel","Excel"
"XML","XML"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Home","Home"
"None","None"
"Store views","Store views"
"Manage Vendors","Manage Vendors"
"Save Manage Vendors","Save Manage Vendors"
"Delete Manage Vendors","Delete Manage Vendors"
"Edit Manage Vendors '%s'","Edit Manage Vendors '%s'"
"Add Manage Vendors","Add Manage Vendors"
"Manage Vendors","Manage Vendors"
"This manage vendors no longer exists.","This manage vendors no longer exists."
"Manage Vendors was successfully saved","Manage Vendors was successfully saved"
"There was a problem saving the manage vendors.","There was a problem saving the manage vendors."
"Unable to find manage vendors to save.","Unable to find manage vendors to save."
"Manage Vendors was successfully deleted.","Manage Vendors was successfully deleted."
"There was an error deleteing manage vendors.","There was an error deleteing manage vendors."
"Could not find manage vendors to delete.","Could not find manage vendors to delete."
"Please select manage vendors to delete.","Please select manage vendors to delete."
"Total of %d manage vendors were successfully deleted.","Total of %d manage vendors were successfully deleted."
"There was an error deleteing manage vendors.","There was an error deleteing manage vendors."
"Total of %d manage vendors were successfully updated.","Total of %d manage vendors were successfully updated."
"There was an error updating manage vendors.","There was an error updating manage vendors."
"Please select manage vendors.","Please select manage vendors."
"Contact","Contact"
"Save Contact","Save Contact"
"Delete Contact","Delete Contact"
"Edit Contact '%s'","Edit Contact '%s'"
"Add Contact","Add Contact"
"Contacts","Contacts"
"This contact no longer exists.","This contact no longer exists."
"Contact was successfully saved","Contact was successfully saved"
"There was a problem saving the contact.","There was a problem saving the contact."
"Unable to find contact to save.","Unable to find contact to save."
"Contact was successfully deleted.","Contact was successfully deleted."
"There was an error deleteing contact.","There was an error deleteing contact."
"Could not find contact to delete.","Could not find contact to delete."
"Please select contacts to delete.","Please select contacts to delete."
"Total of %d contacts were successfully deleted.","Total of %d contacts were successfully deleted."
"There was an error deleteing contacts.","There was an error deleteing contacts."
"Total of %d contacts were successfully updated.","Total of %d contacts were successfully updated."
"There was an error updating contacts.","There was an error updating contacts."
"Please select contacts.","Please select contacts."
"Active","Active"
"",""
"Vendor Name","Vendor Name"
"",""
"Address","Address"
"",""
"Address2","Address2"
"",""
"City","City"
"",""
"Zip Code","Zip Code"
"",""
"Phone #","Phone #"
"",""
"Fax #","Fax #"
"",""
"Website","Website"
"",""
"PO Email","PO Email"
"",""
"Insurance Expires","Insurance Expires"
"",""
"Account Number","Account Number"
"",""
"Specialty","Specialty"
"",""
"First Name","First Name"
"",""
"Last Name","Last Name"
"",""
"Title","Title"
"",""
"Office #","Office #"
"",""
"Mobile #","Mobile #"
"",""
"Email","Email"
"",""
"Primary","Primary"
"",""
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Change status","Change status"
"Change Active","Change Active"
"Change Primary","Change Primary"
"Assign contact to manage vendors","Assign contact to manage vendors"
"Remove contact from manage vendors","Remove contact from manage vendors"
"Contact does not exist.","Contact does not exist."
